Date,Title,Path
2024-10-22T12:57:11.732Z,UK regulator: Clear link between online posts and violent disorder ,/news/articles/c70w0ne4zexo
2024-10-23T22:23:52.333Z,US warns Musk political group that $1m voter giveaway may be illegal,/news/articles/c748l0zv4x8o
2024-10-22T09:15:24.272Z,Trump has the world’s richest man on his side. What does Musk want?,/news/articles/cj6e6zzwnllo
2024-10-22T10:33:20.809Z,Facebook and Instagram launch celebrity scam ad crackdown,/news/articles/cg565mrdz7zo
2024-10-21T11:07:28.320Z,The AI art redefining creativity,/future/article/20241018-ai-art-the-end-of-creativity-or-a-new-movement
2024-10-20T09:01:31.263Z,The weird history of barcodes,/future/article/20241018-barcodes-at-75-how-black-and-white-lines-went-into-space-and-stoked-fears-of-the-antichrist
2024-10-17T11:33:11.910Z,Instagram defends new teen safety features after criticism,/news/articles/cdd4vn6p601o
2024-10-18T10:08:10.231Z,Alleged Bitcoin hacker searched 'signs the FBI is after you',/news/articles/c20pvkg35xyo
2024-10-18T10:01:30.963Z,How 1984's The Terminator predicted our AI fears,/culture/article/20241017-the-terminator-how-james-camerons-science-fiction-slasher-film-predicted-our-anxieties-about-ai
2024-10-17T05:00:49.399Z,Social media faces big changes under new Ofcom rules,/news/articles/cj0467e9e43o
2024-10-16T12:38:30.706Z,Firm hacked after accidentally hiring North Korean cyber criminal,/news/articles/ce8vedz4yk7o
2024-10-16T11:25:20.583Z,Twitch streamer Asmongold suspended after Palestinian rant,/news/articles/c75606vd3l6o
2024-10-15T11:54:02.888Z,UK considering EU-style common charging cable,/news/articles/cx2lj58jql8o
2024-10-14T15:50:47.964Z,"Elon Musk accused of copying designs by I, Robot director",/news/articles/ced04q39w33o
2024-10-13T00:02:58.170Z,"From Wimbledon to VAR, is tech hurting the drama of sport?",/news/articles/c9dy4434nj3o
2024-10-12T00:46:14.085Z,"Musk promises self-driving Tesla taxis, but are they safe?",/news/videos/c20p2gp4npeo
2024-10-09T23:04:43.427Z,Tesla shares slide after Cybercab robotaxi revealed,/news/articles/cm29x5ke9jdo
2024-10-10T23:01:21.365Z,Meet the team paid to break into top-secret bases,/news/articles/c8el64yyppro
2024-10-10T13:48:39.013Z,"'Argument won' on smartphones in schools, minister says",/news/articles/c89l5q82qz5o
2024-10-09T10:00:00.000Z,When an AI companion wants something more,/future/article/20241008-the-troubling-future-of-ai-relationships
2024-10-09T09:45:42.276Z,Man denies being mysterious inventor of Bitcoin,/news/articles/c62m73my0dno
2024-10-08T20:15:59.724Z,eBay to ban private e-bike sales in UK over fire fears,/news/articles/c5ywq8xgkkyo
2024-10-08T11:26:49.164Z,Teenager claims first ever Tetris 'rebirth',/news/articles/c70wnrg678lo
2024-10-08T10:00:00.000Z,What hurricane categories get wrong,/future/article/20240822-why-we-need-a-better-way-to-measure-hurricanes
2024-10-08T09:41:32.852Z,Improved privacy for children's wristband scheme,/news/articles/ced0wqjgq9eo
2024-10-08T01:05:17.926Z,US judge orders Google to open app store to rivals,/news/articles/cp392zpwg6go
2024-10-06T10:00:00.000Z,Tracking turtles during the 'lost years',/future/article/20241001-how-satellites-are-mapping-the-future-of-turtle-conservation
2024-10-05T04:00:35.846Z,Tackling digital threats to the US election,/reel/video/p0jvjglz/inside-the-high-security-facility-tackling-digital-threats
2024-10-04T21:00:00.000Z,"How Duolingo became so addicting, according to its CEO",/worklife/article/20241004-the-simple-formula-that-made-duolingo-a-daily-habit-for-millions
2024-10-04T14:06:34.879Z,Smith & Nephew to stay in Hull,/news/articles/c0jwenw81vgo
2024-10-04T11:54:29.565Z,Meta must limit data for personalised ads - EU court,/news/articles/c4gr4r5ln03o
2024-10-03T08:50:29.903Z,Mystery surrounds Musk interview with US regulators,/news/articles/c0e1xgw4dqdo
2024-10-03T16:00:14.563Z,Google introduces new way to search by filming video,/news/articles/c93pdw7y12no
2024-10-02T13:29:33.773Z,The race to electrify the pickup truck,/future/article/20241002-the-us-race-to-release-electric-pickup-trucks
2024-10-01T16:12:05.977Z,UK reveals father and son at heart of Evil Corp hackers,/news/articles/cwy98824lk4o
2024-10-01T13:59:49.714Z,Microsoft: 'ever present' AI assistants are coming,/news/articles/czj9vmnlv9zo
2024-09-30T10:35:25.616Z,Samsung accused of obstructing Fortnite downloads,/news/articles/c2dpj8wkp7po
2024-10-01T10:00:00.000Z,How tech creates hidden work for women,/future/article/20240930-how-technology-creates-hidden-work-for-women
2024-09-30T23:06:24.749Z,Worker shortage hampers datacentre boom,/news/articles/c24pvm8ly18o
2024-09-30T10:20:00.000Z,The UK coal plant that became a giant battery,/future/article/20240927-how-coal-fired-power-stations-are-being-turned-into-batteries
2024-09-28T00:49:07.952Z,Uber terms mean couple can't sue after 'life-changing' crash,/news/articles/cwy9j8ldp0lo
2024-09-27T23:10:28.739Z,'Everybody wants to be in': How songs are chosen for EA FC,/news/articles/cr75zmr0m8vo
2024-09-27T16:59:31.924Z,Microsoft re-launches ‘privacy nightmare’ AI screenshot tool,/news/articles/c869glx8endo
2024-09-27T15:44:56.535Z,MoD steps in to buy chip-making plant for £20m,/news/articles/cpw5qrpgj0qo
2024-09-27T00:27:50.333Z,Watch: Can BBC reporter's AI clone fool his colleagues?,/news/videos/cdje9nz7ll1o
2024-09-26T23:04:07.870Z,How pen and paper comes to the rescue in an IT crisis,/news/articles/ce9zx22ley8o
2024-09-25T17:01:32.921Z,Assassin's Creed Shadows release date delayed to 2025,/news/articles/c36176d6pe4o
2024-09-25T12:30:35.734Z,James McAvoy and Tom Brady fall for 'Goodbye Meta AI' hoax,/news/articles/cj4d5jjqg2qo
2024-09-25T11:21:15.963Z,Terminator creator James Cameron joins board of AI company,/news/articles/cqxr4732pxwo
2024-09-25T10:00:00.000Z,How cat memes went viral 100 years ago,/future/article/20240923-100-year-old-cat-memes-that-predate-the-internet
2024-09-24T23:14:58.728Z,"Sharp rise in problematic teenage social media use, study says",/news/articles/crl8d0x9lpdo
2024-09-23T23:18:25.383Z,CrowdStrike: What was the impact of the global IT outage,/news/articles/cr54m92ermgo
2024-09-24T10:00:00.000Z,The feud that brought electricity to New York,/future/article/20240923-the-feud-at-the-beginning-of-new-yorks-electricity
2024-09-23T22:32:24.428Z,Telegram will now provide some user data to authorities,/news/articles/cvglp0xny3eo
2024-09-23T10:00:00.000Z,The riddles humans can solve but computers can't,/future/article/20240912-what-riddles-teach-us-about-the-human-mind
2024-09-21T23:20:38.171Z,MrBeast is YouTube's biggest star - now he faces 54-page lawsuit,/news/articles/ckgn8d04kdko
2024-09-21T01:33:53.093Z,Ukraine bans Telegram use on state-issued devices,/news/articles/c78dwepw95do
2024-09-20T23:49:23.415Z,A Tamagotchi comeback? Toy gets first UK store as global sales double,/news/articles/cd0zedgdvdlo
2024-09-20T10:54:46.404Z,Sky Glass customers complain as TVs won't turn on,/news/articles/cy0lnxgnjkno
2024-09-19T23:22:07.780Z,The crypto bros who want to crowdfund a new country,/news/articles/cwyl171lyewo
2024-09-19T04:01:30.622Z,'A tech firm stole our voices - then cloned and sold them',/reel/video/p0jpq13m/-a-tech-firm-stole-our-voices-then-cloned-and-sold-them-
2024-09-18T23:01:05.192Z,What's the point of buying the latest smartphone?,/news/articles/cdxrv97djw9o
2024-09-18T08:20:42.682Z,Google scores rare legal win as 1.49bn euro fine scrapped,/news/articles/c62rjd363j1o
2024-09-18T01:30:00.000Z,Can a law make social media less addictive?,/future/article/20240626-can-a-law-make-social-media-less-addictive
2024-09-17T11:59:24.424Z,Instagram boosts privacy and parental control on teen accounts,/news/articles/c77x44zplkyo
2024-09-15T23:23:49.784Z,TikTok says US ban would have ‘staggering’ impact on free speech,/news/articles/c5y3y79llndo
2020-07-20T23:34:00.000Z,When and why could the US ban TikTok?,/news/technology-53476117
2024-09-16T04:00:00.000Z,The web is disappearing. Can the Internet Archive save it?,/future/article/20240912-the-archivists-battling-to-save-the-internet
2024-09-13T12:00:49.842Z,Cristiano Ronaldo hits 1bn social media followers,/news/articles/cn5r5nk4ry6o
2024-09-13T12:41:06.222Z,Stephen Fry: Musk and Zuckerberg have 'polluted culture',/news/articles/ceq5q3jlnz3o
2024-09-13T06:36:57.552Z,Vodafone clashes with watchdog over Three merger,/news/articles/crlrl009kwxo
2024-09-11T23:08:35.521Z,"Data centres as vital as NHS and power grid, government says",/news/articles/c23ljy4z05mo
2024-09-12T05:44:19.258Z,New tech to improve cancer detection and treatment,/news/articles/c93pr5ewr22o
2024-09-10T15:40:34.438Z,Sony reveals much more expensive and powerful PlayStation 5 Pro,/news/articles/cx29r65ygdqo
2024-09-10T08:00:54.548Z,EU court rules Google must pay €2.4bn fine,/news/articles/cjw3e1pn741o
2024-09-09T21:16:48.000Z,Apple banks on AI to boost sales of new iPhone 16,/news/articles/c8erzx2n3j7o
2024-09-08T23:58:42.307Z,Google's lucrative ad tech business goes on trial,/news/articles/ckg2dpkpmv1o
2024-09-07T00:00:00.000Z,Miami Heat: The basketball team turned tech startup,/reel/video/p0jp1llx/miami-heat-the-basketball-team-turned-tech-startup
2024-09-06T23:49:11.778Z,Thieves snatched his phone in London - he tracked it to China,/news/articles/c3rdy132q3lo
2024-09-06T10:49:22.308Z,"Google abusing ad tech dominance, UK competition watchdog finds",/news/articles/c80en9nvlp9o
2024-09-06T10:24:11.012Z,Man accused of using bots and AI to earn streaming revenue,/news/articles/cly3ld9wy3eo
2024-09-06T06:31:28.652Z,'These aren't just words': The woman threatened for taking X to court,/news/articles/cx2ymd32g2eo
2024-09-05T23:01:14.573Z,Crash dummies and robot arms: How airline seats are tested,/news/articles/c74l9p2x3dxo
2024-09-05T20:04:40.429Z,Trump says Musk could head 'government efficiency' force,/news/articles/c74lgwkrmrpo
2024-09-05T17:27:20.078Z,How Microsoft is tackling AI bias,/worklife/article/20240905-microsoft-ai-interview-bbc-executive-lounge
2024-09-05T17:13:34.686Z,Nigerian brothers jailed in US for sextortion scam targeting teenagers,/news/articles/cr7rxpdyz9yo
2024-09-05T14:13:03.555Z,YouTube restricts teenager access to fitness videos,/news/articles/c049kn7wlgxo
2024-09-03T04:24:19.453Z,UK phone companies asked to help tackle rise in thefts,/news/articles/ced1pjd3n3xo
2024-09-03T00:14:13.594Z,Inside the deepfake porn crisis engulfing Korean schools,/news/articles/cpdlpj9zn9go
2024-09-02T05:00:07.175Z,How social media algorithms show violence to boys,/news/articles/c4gdqzxypdzo
2024-08-31T23:15:34.753Z,'A tech firm stole our voices - then cloned and sold them',/news/articles/c3d9zv50955o
2024-08-30T23:01:41.758Z,Telegram: 'The dark web in your pocket',/news/articles/cdey4prn3e1o
2024-08-28T20:09:37.589Z,Telegram boss banned from leaving France in criminal probe,/news/articles/c985ppy0znyo
2024-08-26T10:55:12.885Z,Who is Pavel Durov and what is Telegram?,/news/articles/cx2x5yw8z7yo
2024-08-28T11:23:31.671Z,Telegram repeatedly refuses to join child protection schemes,/news/articles/cy54905nv0go
2024-08-28T10:08:22.532Z,Klarna: AI lets us cut thousands of jobs - but pay more,/news/articles/c80e1gp9m9zo
2024-08-27T23:15:19.424Z,Esports champ wants to get into real world of motorsport,/news/articles/cd6ywyg28nvo
2024-08-27T23:04:25.718Z,Can Barbie help beat teen smartphone addiction?,/news/articles/cx2x52y0wv4o
2024-08-27T09:52:08.154Z,Zuckerberg regrets bowing to Biden 'pressure' over Covid,/news/articles/czxlpjlgdzjo
2024-08-24T22:54:23.626Z,Telegram CEO Pavel Durov arrested at French airport,/news/articles/ckg2kz9kn93o
